isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
1,USD,8.00,1448.00,"2025-02-05 13:30:37",USD
1,USD,356.00,1447.70,"2025-02-05 13:30:37",USD
1,JPY,6095.00,946.80,"2025-02-05 13:36:10",JPY
0,KRW,852.00,1447.50,"2025-02-05 13:53:19",USD
0,KRW,11065.00,946.02,"2025-02-05 14:33:26",JPY
0,KRW,42641.00,946.23,"2025-02-05 14:33:26",JPY
0,KRW,8194.00,945.54,"2025-02-05 14:33:26",JPY
1,USD,852.00,1446.80,"2025-02-05 14:48:51",USD
1,JPY,33137.00,947.35,"2025-02-05 15:17:21",JPY
0,KRW,31000.00,947.47,"2025-02-05 15:18:56",JPY
0,KRW,2100.00,947.47,"2025-02-05 15:19:22",JPY
1,JPY,21310.00,948.15,"2025-02-05 15:31:01",JPY
1,JPY,26515.00,947.23,"2025-02-05 15:34:28",JPY
1,JPY,33329.00,947.12,"2025-02-05 15:36:39",JPY
1,JPY,2019.00,946.96,"2025-02-05 15:37:25",JPY
1,JPY,22301.00,948.08,"2025-02-05 15:41:01",JPY
1,JPY,11155.00,948.22,"2025-02-05 15:46:10",JPY
1,JPY,23078.00,948.09,"2025-02-05 15:51:01",JPY
1,JPY,34306.00,947.99,"2025-02-05 15:56:10",JPY
1,JPY,34630.00,947.93,"2025-02-05 16:01:01",JPY
1,JPY,14102.00,948.29,"2025-02-05 16:06:09",JPY
1,JPY,8054.00,948.34,"2025-02-05 16:11:01",JPY
1,JPY,23193.00,948.34,"2025-02-05 16:11:01",JPY
1,JPY,7871.00,947.62,"2025-02-05 16:16:10",JPY
0,KRW,749.00,1446.20,"2025-02-06 00:07:59",USD
0,KRW,748.00,1444.70,"2025-02-06 00:16:10",USD
0,KRW,730.00,1445.09,"2025-02-06 00:17:01",USD
1,JPY,25072.00,949.78,"2025-02-06 01:06:11",JPY
1,JPY,35334.00,949.72,"2025-02-06 01:11:01",JPY
1,JPY,37811.00,949.44,"2025-02-06 01:26:11",JPY
1,JPY,1783.00,949.85,"2025-02-06 01:31:01",JPY
1,JPY,35901.00,949.85,"2025-02-06 01:31:01",JPY
1,JPY,2299.00,948.92,"2025-02-06 01:32:09",JPY
1,JPY,23822.00,951.04,"2025-02-06 01:36:10",JPY
1,JPY,19672.00,950.71,"2025-02-06 01:41:00",JPY
1,JPY,22332.00,950.38,"2025-02-06 01:42:10",JPY
1,JPY,14174.00,950.27,"2025-02-06 01:46:09",JPY
1,JPY,21089.00,950.27,"2025-02-06 01:46:09",JPY
1,JPY,16092.00,950.02,"2025-02-06 01:47:01",JPY
1,JPY,22978.00,951.40,"2025-02-06 01:51:00",JPY
1,JPY,26356.00,950.18,"2025-02-06 01:52:10",JPY
1,JPY,13485.00,950.55,"2025-02-06 01:56:10",JPY
1,JPY,20000.00,950.55,"2025-02-06 01:56:33",JPY
0,KRW,925.00,1445.00,"2025-02-06 02:01:00",USD
0,KRW,984.00,1446.60,"2025-02-06 02:22:56",USD
0,KRW,844.00,1446.79,"2025-02-06 02:23:02",USD
0,KRW,819.00,1447.40,"2025-02-06 02:24:03",USD
1,USD,854.00,1447.70,"2025-02-06 02:33:42",USD
1,USD,825.00,1447.60,"2025-02-06 02:33:51",USD
1,USD,771.00,1448.60,"2025-02-06 02:41:00",USD
1,JPY,13393.00,951.10,"2025-02-06 02:42:46",JPY
1,JPY,34122.00,950.38,"2025-02-06 02:43:09",JPY
1,USD,149.00,1448.10,"2025-02-06 02:46:11",USD
1,JPY,6000.00,951.34,"2025-02-06 02:52:29",JPY
1,USD,48.00,1448.10,"2025-02-06 02:55:06",USD
1,JPY,11728.00,951.55,"2025-02-06 03:26:50",JPY
1,JPY,2557.00,951.06,"2025-02-06 03:27:22",JPY
0,KRW,20000.00,951.99,"2025-02-06 03:37:37",JPY
0,KRW,405.00,1448.70,"2025-02-06 03:43:10",USD
1,JPY,15089.00,951.65,"2025-02-06 03:56:28",JPY
1,USD,405.00,1449.50,"2025-02-06 03:56:36",USD
1,JPY,4911.00,951.87,"2025-02-06 04:20:08",JPY
0,KRW,877.00,1448.00,"2025-02-06 04:49:29",USD
1,USD,877.00,1448.10,"2025-02-06 05:01:55",USD
0,KRW,10000.00,950.41,"2025-02-06 05:36:10",JPY
0,KRW,22561.00,950.41,"2025-02-06 05:36:10",JPY
0,KRW,977.00,1447.40,"2025-02-06 06:50:06",USD
0,KRW,10000.00,949.06,"2025-02-06 07:01:01",JPY
1,USD,783.00,1448.00,"2025-02-06 07:08:51",USD
1,USD,194.00,1447.80,"2025-02-06 07:11:28",USD
0,KRW,20000.00,948.96,"2025-02-06 07:13:49",JPY
0,KRW,830.00,1448.30,"2025-02-06 07:15:04",USD
1,USD,738.00,1448.50,"2025-02-06 07:31:01",USD
1,JPY,20000.00,949.58,"2025-02-06 07:36:10",JPY
1,USD,92.00,1448.20,"2025-02-06 07:39:12",USD
0,KRW,15000.00,949.68,"2025-02-06 07:49:16",JPY
1,USD,752.00,1449.60,"2025-02-06 07:56:11",USD
0,KRW,257.00,1450.10,"2025-02-06 07:59:33",USD
1,JPY,15000.00,950.99,"2025-02-06 08:06:11",JPY
1,USD,748.00,1450.60,"2025-02-06 08:11:01",USD
1,USD,177.00,1450.60,"2025-02-06 08:15:01",USD
1,USD,80.00,1449.80,"2025-02-06 09:06:09",USD
1,JPY,22561.00,950.26,"2025-02-06 09:06:36",JPY
0,KRW,405.00,1450.50,"2025-02-06 10:39:41",USD
