2025-02-24 15:14:18,268 - INFO - 매수 거래량: 43884.0, 매도 거래량: 26852.0
2025-02-24 15:14:18,268 - INFO - 매수 수익: 307188.0, 매도 수익: 187964.0
2025-02-24 15:14:19,490 - INFO - 조건: (date_window: 3, adjustment: 8.0)
2025-02-24 15:14:19,490 - INFO - 매수 거래량: 39606.0, 매도 거래량: 19510.0
2025-02-24 15:14:19,490 - INFO - 매수 수익: 316848.0, 매도 수익: 156080.0
2025-02-24 15:14:20,636 - INFO - 조건: (date_window: 3, adjustment: 9.0)
2025-02-24 15:14:20,636 - INFO - 매수 거래량: 32115.0, 매도 거래량: 15603.0
2025-02-24 15:14:20,636 - INFO - 매수 수익: 289035.0, 매도 수익: 140427.0
2025-02-24 15:14:21,654 - INFO - 조건: (date_window: 3, adjustment: 10.0)
2025-02-24 15:14:21,654 - INFO - 매수 거래량: 20453.0, 매도 거래량: 13949.0
2025-02-24 15:14:21,655 - INFO - 매수 수익: 204530.0, 매도 수익: 139490.0
2025-02-24 15:14:27,500 - INFO - 조건: (date_window: 4, adjustment: 1.0)
2025-02-24 15:14:27,500 - INFO - 매수 거래량: 84249.0, 매도 거래량: 75180.0
2025-02-24 15:14:27,500 - INFO - 매수 수익: 84249.0, 매도 수익: 75180.0
2025-02-24 15:14:32,572 - INFO - 조건: (date_window: 4, adjustment: 2.0)
2025-02-24 15:14:32,572 - INFO - 매수 거래량: 80789.0, 매도 거래량: 70602.0
2025-02-24 15:14:32,572 - INFO - 매수 수익: 161578.0, 매도 수익: 141204.0
2025-02-24 15:14:36,762 - INFO - 조건: (date_window: 4, adjustment: 3.0)
2025-02-24 15:14:36,762 - INFO - 매수 거래량: 76145.0, 매도 거래량: 60417.0
2025-02-24 15:14:36,763 - INFO - 매수 수익: 228435.0, 매도 수익: 181251.0
2025-02-24 15:14:40,229 - INFO - 조건: (date_window: 4, adjustment: 4.0)
2025-02-24 15:14:40,229 - INFO - 매수 거래량: 69330.0, 매도 거래량: 57581.0
2025-02-24 15:14:40,229 - INFO - 매수 수익: 277320.0, 매도 수익: 230324.0
2025-02-24 15:14:43,086 - INFO - 조건: (date_window: 4, adjustment: 5.0)
2025-02-24 15:14:43,086 - INFO - 매수 거래량: 59748.0, 매도 거래량: 45224.0
2025-02-24 15:14:43,086 - INFO - 매수 수익: 298740.0, 매도 수익: 226120.0
2025-02-24 15:14:45,474 - INFO - 조건: (date_window: 4, adjustment: 6.0)
2025-02-24 15:14:45,475 - INFO - 매수 거래량: 51411.0, 매도 거래량: 37188.0
2025-02-24 15:14:45,475 - INFO - 매수 수익: 308466.0, 매도 수익: 223128.0
2025-02-24 15:14:47,509 - INFO - 조건: (date_window: 4, adjustment: 7.0)
2025-02-24 15:14:47,509 - INFO - 매수 거래량: 45215.0, 매도 거래량: 31908.0
2025-02-24 15:14:47,509 - INFO - 매수 수익: 316505.0, 매도 수익: 223356.0
2025-02-24 15:14:49,327 - INFO - 조건: (date_window: 4, adjustment: 8.0)
2025-02-24 15:14:49,327 - INFO - 매수 거래량: 42027.0, 매도 거래량: 25499.0
2025-02-24 15:14:49,327 - INFO - 매수 수익: 336216.0, 매도 수익: 203992.0
2025-02-24 15:14:50,983 - INFO - 조건: (date_window: 4, adjustment: 9.0)
2025-02-24 15:14:50,983 - INFO - 매수 거래량: 36693.0, 매도 거래량: 23691.0
2025-02-24 15:14:50,984 - INFO - 매수 수익: 330237.0, 매도 수익: 213219.0
2025-02-24 15:14:52,484 - INFO - 조건: (date_window: 4, adjustment: 10.0)
2025-02-24 15:14:52,484 - INFO - 매수 거래량: 26274.0, 매도 거래량: 22037.0
2025-02-24 15:14:52,485 - INFO - 매수 수익: 262740.0, 매도 수익: 220370.0
2025-02-24 15:14:59,669 - INFO - 조건: (date_window: 5, adjustment: 1.0)
2025-02-24 15:14:59,669 - INFO - 매수 거래량: 84249.0, 매도 거래량: 75180.0
2025-02-24 15:14:59,669 - INFO - 매수 수익: 84249.0, 매도 수익: 75180.0
2025-02-24 15:15:05,876 - INFO - 조건: (date_window: 5, adjustment: 2.0)
2025-02-24 15:15:05,876 - INFO - 매수 거래량: 80789.0, 매도 거래량: 72502.0
2025-02-24 15:15:05,876 - INFO - 매수 수익: 161578.0, 매도 수익: 145004.0
2025-02-24 15:15:11,099 - INFO - 조건: (date_window: 5, adjustment: 3.0)
2025-02-24 15:15:11,100 - INFO - 매수 거래량: 76145.0, 매도 거래량: 64079.0
2025-02-24 15:15:11,100 - INFO - 매수 수익: 228435.0, 매도 수익: 192237.0
2025-02-24 15:15:15,502 - INFO - 조건: (date_window: 5, adjustment: 4.0)
2025-02-24 15:15:15,502 - INFO - 매수 거래량: 69330.0, 매도 거래량: 64059.0
2025-02-24 15:15:15,502 - INFO - 매수 수익: 277320.0, 매도 수익: 256236.0
2025-02-24 15:15:19,137 - INFO - 조건: (date_window: 5, adjustment: 5.0)
2025-02-24 15:15:19,137 - INFO - 매수 거래량: 59748.0, 매도 거래량: 52913.0
2025-02-24 15:15:19,137 - INFO - 매수 수익: 298740.0, 매도 수익: 264565.0
2025-02-24 15:15:22,318 - INFO - 조건: (date_window: 5, adjustment: 6.0)
2025-02-24 15:15:22,318 - INFO - 매수 거래량: 51411.0, 매도 거래량: 45384.0
2025-02-24 15:15:22,318 - INFO - 매수 수익: 308466.0, 매도 수익: 272304.0
2025-02-24 15:15:25,050 - INFO - 조건: (date_window: 5, adjustment: 7.0)
